velocity,Distance,Speed,SR,SplitD
2.95,17.91625,2.924798571,,0.04097222222
2.94,17.95708333,2.922062056,,0.04083333333
2.92,17.99763889,2.920572973,,0.04055555556
2.91,18.03805556,2.919527415,,0.04041666667
2.93,18.07875,2.91867042,,0.04069444444
2.93,18.11944444,2.918258412,,0.04069444444
2.87,18.15930556,2.917831323,,0.03986111111
2.81,18.19833333,2.915773019,,0.03902777778
2.81,18.23736111,2.910932007,,0.03902777778
2.82,18.27652778,2.903727893,,0.03916666667
2.79,18.31527778,2.894924348,,0.03875
2.75,18.35347222,2.88442477,,0.03819444444
2.71,18.39111111,2.871673278,,0.03763888889
2.68,18.42833333,2.856335259,,0.03722222222
2.69,18.46569444,2.838799173,,0.03736111111
2.71,18.50333333,2.820344511,,0.03763888889
2.74,18.54138889,2.80259923,,0.03805555556
2.78,18.58,2.787120613,,0.03861111111
2.82,18.61916667,2.775265543,,0.03916666667
2.87,18.65902778,2.768100594,,0.03986111111
2.93,18.69972222,2.766526946,22.47825713,0.04069444444
2.99,18.74125,2.77128911,,0.04152777778
3,18.78291667,2.782351169,,0.04166666667
3.01,18.82472222,2.798548678,,0.04180555556
3.05,18.86708333,2.818640905,,0.04236111111
3.1,18.91013889,2.842192776,,0.04305555556
3.17,18.95416667,2.869388609,,0.04402777778
3.22,18.99888889,2.900506633,,0.04472222222
3.24,19.04388889,2.935158459,,0.045
3.26,19.08916667,2.972197824,,0.04527777778
3.29,19.13486111,3.010497482,,0.04569444444
3.31,19.18083333,3.049257976,,0.04597222222
3.31,19.22680556,3.08759105,,0.04597222222
3.31,19.27277778,3.124392482,,0.04597222222
3.33,19.31902778,3.158890676,,0.04625
3.33,19.36527778,3.190772988,,0.04625
3.27,19.41069444,3.2191734,,0.04541666667
3.21,19.45527778,3.242297642,,0.04458333333
3.21,19.49986111,3.258993235,,0.04458333333
3.23,19.54472222,3.269902406,,0.04486111111
3.24,19.58972222,3.276534317,,0.045
3.22,19.63444444,3.279902475,,0.04472222222
3.09,19.67736111,3.279249362,,0.04291666667
2.97,19.71861111,3.271973018,,0.04125
3.05,19.76097222,3.257364248,,0.04236111111
3.14,19.80458333,3.238974241,,0.04361111111
3.09,19.8475,3.220327763,,0.04291666667
3.02,19.88944444,3.201439952,,0.04194444444
3.04,19.93166667,3.181513198,,0.04222222222
